Vernier Format 2
Untitled.cmbl 1/23/2020 12:43:40 .
Latest
Time	Temperature
t	Temp
s	°C

0	20.8386007948
1	20.8386007948
2	20.8386007948
3	20.8386007948
4	20.8386007948
5	20.8151390351
6	20.8386007948
7	20.8386007948
8	20.8386007948
9	20.8386007948
10	20.8386007948
11	20.8151390351
12	20.8386007948
13	20.8386007948
14	20.8386007948
15	20.8386007948
16	20.8386007948
17	20.8386007948
18	20.8386007948
19	20.8620599842
20	20.8620599842
21	20.8855166162
22	20.8855166162
23	20.9089707037
24	20.9089707037
25	20.9324222597
26	20.955871297
27	20.955871297
28	20.9793178286
29	20.9793178286
30	21.0027618673
31	21.0027618673
32	21.0027618673
33	21.0027618673
34	21.026203426
35	21.0496425176
36	21.0496425176
37	21.0496425176
38	21.0496425176
39	21.0730791549
40	21.0496425176
41	21.0730791549
42	21.0730791549
43	21.0730791549
44	21.0730791549
45	21.0730791549
46	21.0730791549
47	21.0965133507
48	21.0965133507
49	21.0730791549
50	21.0965133507
51	21.0965133507
52	21.0965133507
53	21.0965133507
54	21.0965133507
55	21.0965133507
56	21.1199451179
57	21.0965133507
58	21.1199451179
59	21.0965133507
60	21.0965133507
61	21.1199451179
62	21.0965133507
63	21.1199451179
64	21.0965133507
65	21.0965133507
66	21.0965133507
67	21.1199451179
68	21.0965133507
69	21.0965133507
70	21.1199451179
71	21.1199451179
72	21.1199451179
73	21.0965133507
74	21.0965133507
75	21.0965133507
76	21.1199451179
77	21.0965133507
78	21.1199451179
79	21.0965133507
80	21.0965133507
81	21.0965133507
82	21.1199451179
83	21.0965133507
84	21.1199451179
85	21.0965133507
86	21.0965133507
87	21.1199451179
88	21.0965133507
89	21.0965133507
90	21.0965133507
91	21.0965133507
92	21.1199451179
93	21.1199451179
94	21.0965133507
95	21.0965133507
96	21.1199451179
97	21.1199451179
98	21.1199451179
99	21.1199451179
100	21.1199451179
101	21.1199451179
102	21.1199451179
103	21.1199451179
104	21.0965133507
105	21.1199451179
106	21.0965133507
107	21.0965133507
108	21.0965133507
109	21.0965133507
110	21.1199451179
111	21.1199451179
112	21.1199451179
113	21.1199451179
114	21.0965133507
115	21.1199451179
116	21.0965133507
117	21.1199451179
118	21.1199451179
119	21.0965133507
120	21.1199451179
121	21.1199451179
122	21.1199451179
123	21.1199451179
124	21.0965133507
